Year,Term,College or Institution Type,College or Institution Name,Undergraduate Full-Time,Undergraduate Part-Time,Graduate Full-Time,Graduate Part-Time
2011,Fall,Doctoral Degree Granting Institutions,Albany,11925,830,2117,2242
2011,Fall,Doctoral Degree Granting Institutions,Alfred-Ceramics,629,17,71,14
2011,Fall,Doctoral Degree Granting Institutions,Binghamton,11464,397,1566,1319
2011,Fall,Doctoral Degree Granting Institutions,Buffalo Univ,17664,1670,6048,3478
2011,Fall,Doctoral Degree Granting Institutions,Cornell Stat,5608,,1840,
2011,Fall,Doctoral Degree Granting Institutions,Downstate Medical,184,165,1037,365
2011,Fall,Doctoral Degree Granting Institutions,Envir Sci & Forestry,1628,539,319,194
2011,Fall,Doctoral Degree Granting Institutions,Optometry,,,315,2
2011,Fall,Doctoral Degree Granting Institutions,Stony Brook,14485,1300,5137,2998
2011,Fall,Doctoral Degree Granting Institutions,Upstate Medical,213,83,1040,253
2011,Fall,Comprehensive Colleges,Brockport,6454,712,365,882
2011,Fall,Comprehensive Colleges,Buffalo State,8811,1201,511,1681
2011,Fall,Comprehensive Colleges,Cortland,6241,130,370,590
2011,Fall,Comprehensive Colleges,Empire State,4346,6644,86,751
2011,Fall,Comprehensive Colleges,Fredonia,5237,150,182,151
2011,Fall,Comprehensive Colleges,Geneseo,5352,124,93,95
2011,Fall,Comprehensive Colleges,New Paltz,6194,505,525,633
2011,Fall,Comprehensive Colleges,Old Westbury,3561,669,131,98
2011,Fall,Comprehensive Colleges,Oneonta,5738,114,92,79
2011,Fall,Comprehensive Colleges,Oswego,6992,387,372,465
2011,Fall,Comprehensive Colleges,Plattsburgh,5438,384,313,215
2011,Fall,Comprehensive Colleges,Potsdam,3827,125,298,145
2011,Fall,Comprehensive Colleges,Purchase,3733,471,109,11
2011,Fall,Technology Colleges,Alfred State,3277,339,,
2011,Fall,Technology Colleges,Canton,2952,873,,
2011,Fall,Technology Colleges,Cobleskill,2364,152,,
2011,Fall,Technology Colleges,Delhi,2607,642,,
2011,Fall,Technology Colleges,Farmingdale,5377,2256,,
2011,Fall,Technology Colleges,Maritime,1565,96,102,60
2011,Fall,Technology Colleges,Morrisville,2861,369,,
2011,Fall,Technology Colleges,SUNYIT,1353,511,151,493
2011,Fall,Community Colleges,Adirondack,2344,1754,,
2011,Fall,Community Colleges,Broome,4376,1824,,
2011,Fall,Community Colleges,Cayuga County,2378,2054,,
2011,Fall,Community Colleges,Clinton,1361,973,,
2011,Fall,Community Colleges,Columbia-Greene,1041,1061,,
2011,Fall,Community Colleges,Corning,2468,2833,,
2011,Fall,Community Colleges,Dutchess,5095,5221,,
2011,Fall,Community Colleges,Erie,9356,4820,,
2011,Fall,Community Colleges,Fashion Institute,7141,2882,111,89
2011,Fall,Community Colleges,Finger Lakes,3819,2992,,
2011,Fall,Community Colleges,Fulton-Montgomery,1827,1015,,
2011,Fall,Community Colleges,Genesee,3611,3589,,
2011,Fall,Community Colleges,Herkimer County,2470,1209,,
2011,Fall,Community Colleges,Hudson Valley,7643,5951,,
2011,Fall,Community Colleges,Jamestown,2954,2503,,
2011,Fall,Community Colleges,Jefferson,2237,1578,,
2011,Fall,Community Colleges,Mohawk Valley,4904,2739,,
2011,Fall,Community Colleges,Monroe,10992,6707,,
2011,Fall,Community Colleges,Nassau,14940,8610,,
2011,Fall,Community Colleges,Niagara County,4387,2770,,
2011,Fall,Community Colleges,North Country,1124,1330,,
2011,Fall,Community Colleges,Onondaga,6818,5928,,
2011,Fall,Community Colleges,Orange County,3638,3666,,
2011,Fall,Community Colleges,Rockland,4754,3292,,
2011,Fall,Community Colleges,Schenectady County,2668,4091,,
2011,Fall,Community Colleges,Suffolk County,15064,11725,,
2011,Fall,Community Colleges,Sullivan County,1134,570,,
2011,Fall,Community Colleges,Tompkins Cortland,2930,2732,,
2011,Fall,Community Colleges,Ulster County,1638,1967,,
2011,Fall,Community Colleges,Westchester,7410,6559,,
2012,Fall,Doctoral Degree Granting Institutions,Albany,12064,814,2179,2255
2012,Fall,Doctoral Degree Granting Institutions,Alfred-Ceramics,609,12,63,17
2012,Fall,Doctoral Degree Granting Institutions,Binghamton,11904,452,1682,1270
2012,Fall,Doctoral Degree Granting Institutions,Buffalo Univ,17766,1893,6270,3200
2012,Fall,Doctoral Degree Granting Institutions,Cornell Stat,5653,,1875,
2012,Fall,Doctoral Degree Granting Institutions,Downstate Medical,213,139,1071,376
2012,Fall,Doctoral Degree Granting Institutions,Envir Sci & Forestry,1661,43,323,228
2012,Fall,Doctoral Degree Granting Institutions,Optometry,,,334,2
2012,Fall,Doctoral Degree Granting Institutions,Stony Brook,14445,1271,5237,2872
2012,Fall,Doctoral Degree Granting Institutions,Upstate Medical,211,91,1058,275
2012,Fall,Comprehensive Colleges,Brockport,6444,689,367,771
2012,Fall,Comprehensive Colleges,Buffalo State,8606,1141,516,1518
2012,Fall,Comprehensive Colleges,Cortland,6228,117,250,503
2012,Fall,Comprehensive Colleges,Empire State,4341,6777,87,823
2012,Fall,Comprehensive Colleges,Fredonia,5074,157,175,115
2012,Fall,Comprehensive Colleges,Geneseo,5260,116,70,93
2012,Fall,Comprehensive Colleges,New Paltz,6091,482,498,584
2012,Fall,Comprehensive Colleges,Old Westbury,3610,607,106,99
2012,Fall,Comprehensive Colleges,Oneonta,5709,128,116,88
2012,Fall,Comprehensive Colleges,Oswego,6815,336,331,439
2012,Fall,Comprehensive Colleges,Plattsburgh,5318,388,296,165
2012,Fall,Comprehensive Colleges,Potsdam,3762,106,230,126
2012,Fall,Comprehensive Colleges,Purchase,3721,407,101,11
2012,Fall,Technology Colleges,Alfred State,3212,316,,
2012,Fall,Technology Colleges,Canton,3087,693,,
2012,Fall,Technology Colleges,Cobleskill,2332,160,,
2012,Fall,Technology Colleges,Delhi,2605,546,,
2012,Fall,Technology Colleges,Farmingdale,5787,2102,,
2012,Fall,Technology Colleges,Maritime,1519,95,88,59
2012,Fall,Technology Colleges,Morrisville,2708,387,,
2012,Fall,Technology Colleges,SUNYIT,1272,421,171,513
2012,Fall,Community Colleges,Adirondack,2263,1724,,
2012,Fall,Community Colleges,Broome,4113,1839,,
2012,Fall,Community Colleges,Cayuga County,2241,2073,,
