Respondent,Professional,FormalEducation,MajorUndergrad,HomeRemote,CompanySize,CompanyType,YearsProgram,YearsCodedJob,CareerSatisfaction,JobSatisfaction,TabsSpaces,IDE,Methodology,Gender,HighestEducationParents,Race,Salary
18,Professional developer,Bachelor's degree,Computer science or software engineering,All or almost all the time (I'm full-time remote),"1,000 to 4,999 employees",Publicly-traded corporation,20 or more years,20 or more years,9,8,Spaces,Emacs; Vim,NA,Male,A master's degree,"Native American, Pacific Islander, or Indigenous Australian; White or of European descent",1.30E+05
19,Professional developer,Bachelor's degree,Computer science or software engineering,A few days each month,"10,000 or more employees",Publicly-traded corporation,2 to 3 years,3 to 4 years,5,3,NA,NA,NA,NA,NA,NA,82500
26,Professional developer,Master's degree,Computer science or software engineering,"Less than half the time, but at least one day each week","10,000 or more employees",Publicly-traded corporation,20 or more years,16 to 17 years,7,7,Spaces,IntelliJ,NA,Male,A master's degree,White or of European descent,1.75E+05
71,Professional developer,Some college/university study without earning a bachelor's degree,"Information technology, networking, or system administration",A few days each month,20 to 99 employees,"Privately-held limited company, not in startup mode",2 to 3 years,1 to 2 years,8,5,Spaces,Atom; RubyMine,NA,Male,High school,White or of European descent,6.50E+04
73,Professional developer,Some college/university study without earning a bachelor's degree,Computer science or software engineering,All or almost all the time (I'm full-time remote),100 to 499 employees,Venture-funded startup,20 or more years,20 or more years,8,5,Spaces,Notepad++; IntelliJ; Visual Studio; Visual Studio Code,Waterfall; Agile; Lean; Scrum; Domain-driven design,Male,A bachelor's degree,White or of European descent,1.20E+05
77,Professional developer,Some college/university study without earning a bachelor's degree,Computer engineering or electrical/electronics engineering,"More than half, but not all, the time","1,000 to 4,999 employees",Government agency or public school/university,20 or more years,20 or more years,10,8,Tabs,Sublime Text; Visual Studio,Waterfall; Agile; Scrum; Pair,Male,"Some college/university study, no bachelor's degree",White or of European descent,96283
82,Professional developer,Bachelor's degree,Computer science or software engineering,A few days each month,20 to 99 employees,"Sole proprietorship or partnership, not in startup mode",17 to 18 years,13 to 14 years,7,6,Tabs,Notepad++; Eclipse,Agile; Scrum; Kanban,Male,A bachelor's degree,White or of European descent,1.10E+05
84,Professional developer,Doctoral degree,Computer science or software engineering,A few days each month,"10,000 or more employees",Publicly-traded corporation,20 or more years,NA,6,5,Spaces,Vim,Waterfall; Agile; Lean; Scrum; Pair; Kanban; Evidence-based SWE,Male,A doctoral degree,White or of European descent,1.65E+05
100,Professional developer,Master's degree,Computer science or software engineering,Never,20 to 99 employees,"Privately-held limited company, not in startup mode",20 or more years,7 to 8 years,8,8,Spaces,Vim; Xcode,Pair,Male,A master's degree,White or of European descent,109400
104,Professional developer,Bachelor's degree,Something else,Never,20 to 99 employees,"Privately-held limited company, not in startup mode",1 to 2 years,1 to 2 years,10,10,Spaces,Sublime Text,NA,Female,A bachelor's degree,White or of European descent,5.10E+04
